6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g2121094-600655,1,0.250,0.057,0.215,0.130,0.090,0.069,0.300,0.098,8,320.2889583,-60.1153333
g2121240-525332,1,0.475,0.075,0.102,0.103,0.210,0.050,0.300,0.064,7,320.3498750,-52.8922778
g2121366-711814,1,0.800,0.111,-0.278,0.113,0.030,0.069,-0.250,0.067,4,320.4026250,-71.3039167
g2121549-555537,1,0.500,0.110,0.121,0.134,0.270,0.053,0.375,0.111,7,320.4788750,-55.9268333
g2122093-405019,1,0.700,0.082,-0.220,0.111,0.180,0.073,-0.050,0.055,2,320.5387500,-40.8385833
g2122204-502644,1,0.375,0.131,-0.193,0.233,-0.060,0.136,-0.250,0.138,8,320.5851250,-50.4456389
g2122229-560014,1,1.175,0.035,0.109,0.074,0.150,0.052,0.250,0.034,6,320.5954583,-56.0039722
g2122294-451155,1,1.150,0.071,-0.583,0.126,0.300,0.098,-0.300,0.056,3,320.6222917,-45.1986389
g2122310-495255,1,0.850,0.123,0.168,0.111,0.060,0.059,0.225,0.081,9,320.6290000,-49.8818333
g2122381-192828,1,0.900,0.093,-0.176,0.109,0.240,0.067,0.050,0.066,5,320.6585417,-19.4743056
g2122457-213658,1,0.725,0.096,0.005,0.112,0.180,0.055,0.175,0.075,3,320.6905000,-21.6160000
g2122485-220456,1,1.175,0.034,-0.558,0.085,0.460,0.070,-0.125,0.032,6,320.7022083,-22.0823333
g2122537-195350,1,0.525,0.101,0.080,0.123,0.180,0.068,0.250,0.076,4,320.7239167,-19.8972500
g2122565-481851,1,0.675,0.126,0.168,0.138,0.060,0.065,0.225,0.101,6,320.7354583,-48.3141389
g2123046-712030,1,0.275,0.055,-0.020,0.126,0.180,0.080,0.150,0.070,4,320.7691667,-71.3415833
g2123064-473917,1,0.350,0.055,-0.020,0.114,0.180,0.061,0.150,0.063,6,320.7765417,-47.6547778
g2123130-193624,1,1.050,0.054,0.240,0.075,0.090,0.056,0.325,0.034,8,320.8040833,-19.6066667
g2123340-494711,1,0.750,0.125,-0.373,0.164,0.210,0.096,-0.175,0.090,8,320.8915417,-49.7863056
g2123397-052602,1,0.550,0.088,0.190,0.112,0.090,0.051,0.275,0.106,6,320.9153333,-5.4338056
g2123544-110513,1,0.775,0.123,-0.514,0.130,0.440,0.074,-0.100,0.072,7,320.9766667,-11.0868889
g2124096-544239,1,0.475,0.118,-0.371,0.168,0.420,0.094,0.025,0.094,6,321.0401667,-54.7108333
g2124260-113111,1,1.075,0.052,-0.140,0.102,-0.090,0.078,-0.225,0.041,5,321.1081250,-11.5197500
g2124263-491649,1,1.075,0.012,-0.201,0.051,0.240,0.042,0.025,0.024,2,321.1096250,-49.2802222
g2124386-200701,1,0.575,0.106,0.109,0.128,0.150,0.059,0.250,0.085,2,321.1607083,-20.1170000
g2124587-422738,1,0.750,0.072,0.034,0.066,0.150,0.032,0.175,0.048,4,321.2445417,-42.4604444
g2125005-184802,1,0.900,0.089,-0.191,0.101,0.150,0.066,-0.050,0.050,3,321.2522083,-18.8004167
g2125329-424145,1,0.725,0.110,-0.041,0.129,0.150,0.073,0.100,0.076,8,321.3870000,-42.6956944
g2125466-545214,1,0.725,0.076,0.027,0.090,0.210,0.052,0.225,0.052,5,321.4440417,-54.8704444
g2125535-095146,1,0.725,0.089,-0.270,0.108,0.340,0.066,0.050,0.058,5,321.4727917,-9.8626667
g2125536-422441,1,0.300,0.032,0.065,0.070,0.090,0.040,0.150,0.039,2,321.4732500,-42.4112778
g2125574-090156,1,1.025,0.042,-0.060,0.069,0.090,0.056,0.025,0.036,4,321.4890833,-9.0320833
g2126425-065942,1,0.250,0.056,-0.670,0.144,0.340,0.100,-0.350,0.086,5,321.6770833,-6.9949444
g2126435-214959,1,0.700,0.082,0.137,0.093,0.120,0.044,0.250,0.064,5,321.6810417,-21.8329722
g2126518-190136,1,0.800,0.152,-0.048,0.142,0.210,0.069,0.150,0.096,5,321.7157500,-19.0265556
g2127226-452254,1,0.275,0.070,0.362,0.139,0.120,0.058,0.475,0.117,3,321.8441250,-45.3817500
g2127269-490349,1,0.775,0.067,-0.004,0.064,0.270,0.036,0.250,0.039,3,321.8618750,-49.0635000
g2127285-094443,1,0.500,0.077,0.034,0.111,0.150,0.060,0.175,0.073,4,321.8688333,-9.7453056
g2127337-011119,1,0.975,0.079,-0.045,0.099,0.180,0.070,0.125,0.052,8,321.8904583,-1.1886111
g2127534-111824,1,0.275,0.055,-0.048,0.126,0.210,0.072,0.150,0.069,7,321.9722917,-11.3066944
g2128307-523109,1,0.600,0.115,0.065,0.139,0.090,0.065,0.150,0.099,5,322.1280000,-52.5191111
g2128439-672232,1,1.100,0.028,-0.110,0.062,0.090,0.051,-0.025,0.032,4,322.1828333,-67.3756389
g2128480-452305,1,0.575,0.100,-0.088,0.113,0.120,0.061,0.025,0.073,4,322.2000833,-45.3845833
g2129125-003718,1,0.400,0.088,0.012,0.156,0.120,0.087,0.125,0.086,2,322.3021667,-0.6217500
g2129168-511902,2,0.650,0.116,0.203,0.144,-0.030,0.068,0.175,0.094,7,322.3201250,-51.3172500
g2129346-790732,1,1.175,0.035,-0.583,0.092,0.300,0.086,-0.300,0.045,5,322.3940000,-79.1254444
g2129374-211144,1,0.900,0.079,0.230,0.059,0.180,0.031,0.400,0.040,4,322.4060000,-21.1956389
g2129397-060822,1,0.900,0.093,-0.270,0.083,0.340,0.057,0.050,0.054,7,322.4154167,-6.1393333
g2129522-003753,1,0.675,0.094,-0.088,0.110,0.120,0.062,0.025,0.065,4,322.4674583,-0.6312500
g2130142-080401,1,0.850,0.133,-0.799,0.198,0.530,0.122,-0.300,0.104,8,322.5592917,-8.0669722
g2130232-512621,1,1.150,0.030,-0.348,0.083,0.210,0.075,-0.150,0.043,4,322.5966667,-51.4392500
g2130282-634435,1,0.950,0.065,-0.254,0.083,0.270,0.056,0.000,0.042,5,322.6175417,-63.7430833
g2130382-123219,1,0.300,0.092,-0.170,0.206,0.180,0.127,0.000,0.101,4,322.6593333,-12.5385833
g2130540-512521,1,0.625,0.112,0.368,0.105,0.060,0.041,0.425,0.079,6,322.7249167,-51.4225278
g2131303-571921,1,0.500,0.076,-0.035,0.096,0.090,0.055,0.050,0.061,1,322.8762917,-57.3223611
g2131338-520307,1,1.175,0.044,-0.426,0.093,0.240,0.072,-0.200,0.040,5,322.8906667,-52.0518056
g2131357-465315,1,1.175,0.054,-0.539,0.094,0.440,0.067,-0.125,0.047,8,322.8986667,-46.8874167
g2131515-111007,1,1.175,0.020,-0.458,0.064,0.300,0.052,-0.175,0.029,3,322.9645833,-11.1685833
g2131527-460331,1,1.150,0.032,-0.928,0.096,0.560,0.081,-0.400,0.036,4,322.9693750,-46.0585278
g2131560-625028,1,1.100,0.023,-0.264,0.084,0.360,0.067,0.075,0.035,8,322.9834583,-62.8412222
g2132062-110744,1,0.725,0.134,0.038,0.139,-0.120,0.083,-0.075,0.078,3,323.0259583,-11.1289167
g2132135-480015,1,0.700,0.142,0.132,0.162,-0.060,0.082,0.075,0.104,7,323.0563750,-48.0041111
g2132293-714112,1,0.725,0.155,0.159,0.153,0.150,0.068,0.300,0.108,3,323.1220000,-71.6866389
g2132353-440403,1,1.025,0.022,-0.182,0.047,0.060,0.039,-0.125,0.020,5,323.1468750,-44.0675556
g2132395-602504,1,1.150,0.027,-0.235,0.064,0.090,0.052,-0.150,0.034,8,323.1645417,-60.4178333
g2132477-064723,1,0.450,0.071,0.187,0.078,0.120,0.038,0.300,0.052,2,323.1988750,-6.7897778
g2132586-480300,1,0.775,0.094,0.109,0.087,0.150,0.044,0.250,0.060,4,323.2440417,-48.0500556
g2133227-791758,1,1.125,0.057,-0.595,0.118,0.180,0.097,-0.425,0.048,7,323.3444167,-79.2994722
g2133240-023701,1,0.775,0.129,0.115,0.121,0.090,0.060,0.200,0.083,7,323.3498750,-2.6168611
g2133245-311311,1,0.650,0.116,-0.001,0.132,0.240,0.063,0.225,0.090,2,323.3521667,-31.2196389
g2133435-633439,1,0.275,0.035,-0.023,0.093,0.210,0.062,0.175,0.048,6,323.4311667,-63.5775556
g2133526-554048,1,1.175,0.032,-0.157,0.086,0.060,0.063,-0.100,0.038,7,323.4689583,-55.6800833
g2134202-523951,1,0.325,0.092,0.078,0.166,-0.030,0.088,0.050,0.101,5,323.5840000,-52.6641389
g2134242-194033,1,1.100,0.005,-0.113,0.061,0.120,0.046,0.000,0.033,1,323.6009583,-19.6758611
g2134245-705740,1,0.600,0.136,-0.191,0.142,0.150,0.085,-0.050,0.082,3,323.6020833,-70.9610000
g2134250-332507,1,0.675,0.089,-0.195,0.105,0.340,0.061,0.125,0.063,5,323.6042917,-33.4186389
g2135000-703543,1,0.725,0.119,-0.721,0.201,0.500,0.148,-0.250,0.090,8,323.7500000,-70.5951389
g2135004-003041,1,0.900,0.105,-0.263,0.119,0.120,0.079,-0.150,0.061,2,323.7517083,-0.5113889
g2135016-201544,1,0.400,0.091,-0.278,0.154,0.030,0.094,-0.250,0.082,10,323.7568333,-20.2621111
g2135028-001015,1,0.300,0.093,0.096,0.177,0.270,0.076,0.350,0.138,7,323.7617917,-0.1708889
g2135052-731450,1,0.550,0.081,0.122,0.098,0.030,0.058,0.150,0.068,1,323.7716250,-73.2473333
g2135174-031125,1,0.575,0.125,-0.420,0.165,0.340,0.091,-0.100,0.094,5,323.8225833,-3.1902222
g2135183-093008,1,0.550,0.126,0.187,0.142,0.120,0.062,0.300,0.105,8,323.8260417,-9.5022500
g2135202-205646,1,0.400,0.096,0.168,0.132,0.060,0.058,0.225,0.091,3,323.8341250,-20.9460000
g2135208-374130,1,1.175,0.015,-0.079,0.050,0.270,0.044,0.175,0.034,6,323.8366250,-37.6915278
g2135326-581750,1,0.750,0.113,-0.082,0.110,0.060,0.060,-0.025,0.064,6,323.8857917,-58.2970833
g2135502-344257,1,0.950,0.085,0.024,0.084,0.240,0.043,0.250,0.055,3,323.9591667,-34.7157222
g2135576-085328,1,0.650,0.140,0.197,0.158,0.030,0.068,0.225,0.108,8,323.9898333,-8.8910833
g2135588-042332,1,0.525,0.081,0.092,0.084,0.380,0.039,0.450,0.071,7,323.9949583,-4.3920833
g2136039-032016,1,0.700,0.079,0.146,0.070,0.270,0.033,0.400,0.046,3,324.0161250,-3.3378056
g2136082-073510,1,0.750,0.090,-0.329,0.093,0.270,0.059,-0.075,0.048,3,324.0340833,-7.5862222
g2136168-083040,1,0.775,0.151,0.284,0.130,0.150,0.064,0.425,0.093,6,324.0701250,-8.5110000
g2136237-035822,1,1.000,0.053,0.017,0.060,0.300,0.044,0.300,0.038,6,324.0988750,-3.9728889
g2136238-642532,1,0.650,0.061,-0.221,0.069,0.420,0.048,0.175,0.039,6,324.0989583,-64.4255278
g2136306-035929,1,0.325,0.078,0.443,0.148,0.060,0.060,0.500,0.118,7,324.1274583,-3.9914722
g2136376-274331,1,0.450,0.052,0.100,0.067,0.000,0.039,0.100,0.050,2,324.1565417,-27.7252222
g2136487-224820,1,1.100,0.015,-0.316,0.060,0.150,0.053,-0.175,0.031,2,324.2030000,-22.8054167
g2136542-202037,1,0.650,0.076,-0.045,0.089,0.180,0.052,0.125,0.056,6,324.2257500,-20.3437222
g2137224-035644,1,0.900,0.098,-0.352,0.114,0.480,0.068,0.100,0.064,8,324.3433333,-3.9454167
g2137237-705100,1,0.900,0.111,-0.226,0.137,0.240,0.086,0.000,0.071,4,324.3488333,-70.8500278
g2137282-470209,1,1.175,0.055,-0.733,0.132,0.460,0.103,-0.300,0.048,7,324.3673750,-47.0358333
g2137310-292640,1,0.700,0.067,-0.045,0.091,0.180,0.048,0.125,0.054,1,324.3791667,-29.4445278
g2137329-144139,1,1.175,0.011,-0.370,0.070,0.340,0.053,-0.050,0.038,5,324.3872083,-14.6940556
g2138049-042618,1,0.375,0.094,-0.041,0.178,0.150,0.079,0.100,0.130,8,324.5202083,-4.4383333
g2138070-264158,1,0.575,0.076,-0.123,0.092,0.210,0.050,0.075,0.059,2,324.5290000,-26.6993889
g2138079-423618,1,0.975,0.069,-0.078,0.064,0.030,0.041,-0.050,0.039,2,324.5330833,-42.6048611
g2138082-115212,1,0.225,0.077,0.228,0.176,-0.030,0.070,0.200,0.133,3,324.5342500,-11.8700000
g2138181-070915,1,0.425,0.124,0.648,0.176,-0.210,0.071,0.450,0.155,6,324.5755000,-7.1541667
g2138201-211906,1,0.925,0.095,-0.248,0.101,0.210,0.061,-0.050,0.061,1,324.5835417,-21.3183611
g2138339-041329,1,0.975,0.058,-0.702,0.084,0.480,0.066,-0.250,0.045,8,324.6413750,-4.2247500
g2138346-075426,1,0.875,0.088,0.052,0.089,0.210,0.046,0.250,0.056,3,324.6441667,-7.9071944
g2138346-511239,1,0.550,0.136,0.055,0.153,0.180,0.062,0.225,0.113,3,324.6439583,-51.2108333
g2138424-724642,1,1.150,0.005,-0.095,0.053,0.180,0.039,0.075,0.028,2,324.6766667,-72.7784444
g2138446-492139,1,1.075,0.038,-0.333,0.065,0.380,0.046,0.025,0.033,4,324.6858333,-49.3608611
g2139173-531929,2,0.275,0.057,-0.013,0.143,0.120,0.067,0.100,0.096,4,324.8220833,-53.3247500
g2139228-504329,1,0.700,0.088,-0.377,0.112,0.400,0.069,0.000,0.061,7,324.8448750,-50.7246944
g2139463-295237,1,0.425,0.080,0.012,0.134,0.120,0.073,0.125,0.080,4,324.9427500,-29.8770556
g2139517-360213,1,0.875,0.083,-0.010,0.083,0.090,0.047,0.075,0.055,1,324.9655833,-36.0369722
g2139524-224536,1,0.150,0.102,0.234,0.218,0.150,0.084,0.375,0.183,8,324.9681667,-22.7600000
g2139592-224131,1,0.950,0.091,-0.151,0.085,0.320,0.054,0.150,0.054,5,324.9965417,-22.6920278
g2140007-064325,1,0.400,0.090,0.105,0.123,0.180,0.062,0.275,0.075,5,325.0030000,-6.7235556
g2140029-503804,1,1.100,0.027,-0.179,0.074,0.270,0.056,0.075,0.037,7,325.0120833,-50.6344167
g2140034-635432,1,0.550,0.076,0.205,0.079,0.180,0.033,0.375,0.060,4,325.0142500,-63.9089444
g2140143-222441,1,0.725,0.135,0.162,0.141,0.120,0.066,0.275,0.097,3,325.0593750,-22.4113889
g2140230-571627,1,0.750,0.096,0.022,0.112,0.030,0.065,0.050,0.066,4,325.0956250,-57.2740278
g2140334-132043,1,0.975,0.089,-0.063,0.110,0.120,0.082,0.050,0.064,6,325.1390833,-13.3452778
g2140354-494818,1,0.700,0.085,0.197,0.090,0.030,0.044,0.225,0.060,4,325.1475417,-49.8049722
g2140372-222023,1,1.100,0.032,-0.113,0.056,0.120,0.043,0.000,0.035,3,325.1549583,-22.3396667
g2140591-504538,2,0.625,0.140,-0.066,0.161,0.150,0.091,0.075,0.098,2,325.2462500,-50.7606667
g2141138-555836,1,0.250,0.033,0.034,0.095,0.150,0.061,0.175,0.053,4,325.3073750,-55.9766667
g2141189-012951,1,0.200,0.055,0.391,0.135,-0.150,0.051,0.250,0.103,6,325.3287917,-1.4976111
g2141193-635431,1,0.425,0.070,-0.049,0.082,0.530,0.040,0.450,0.078,7,325.3303333,-63.9086944
g2141212-700024,1,0.875,0.149,0.175,0.166,0.000,0.074,0.175,0.114,6,325.3382917,-70.0065833
g2141414-103808,1,0.425,0.067,0.087,0.084,0.120,0.042,0.200,0.054,4,325.4222917,-10.6356111
g2141469-464916,1,1.100,0.036,-0.520,0.094,0.340,0.071,-0.200,0.041,8,325.4452917,-46.8210556
g2141538-064232,1,0.725,0.082,-0.220,0.098,0.180,0.056,-0.050,0.055,3,325.4739583,-6.7088056
g2141597-064619,1,0.500,0.102,-0.114,0.128,0.440,0.053,0.300,0.095,5,325.4986250,-6.7720556
g2142074-190440,1,-0.025,0.050,0.393,0.102,0.060,0.067,0.450,0.079,6,325.5307500,-19.0776389
g2142197-102157,1,0.200,0.052,-0.020,0.144,0.180,0.084,0.150,0.075,3,325.5820833,-10.3657778
g2142217-744107,1,1.150,0.011,-0.609,0.107,0.620,0.087,-0.025,0.040,10,325.5904583,-74.6853056
g2142244-123348,1,0.450,0.112,0.293,0.144,0.060,0.050,0.350,0.125,8,325.6017500,-12.5632778
g2142299-062540,1,0.375,0.057,0.132,0.112,-0.060,0.067,0.075,0.062,4,325.6245417,-6.4277500
g2142327-292203,1,0.950,0.069,-0.763,0.124,0.460,0.087,-0.330,0.072,3,325.6360417,-29.3674167
g2142449-383329,1,0.925,0.126,-0.114,0.142,0.360,0.064,0.225,0.096,5,325.6872500,-38.5581111
g2142483-752043,1,0.250,0.053,-0.364,0.176,0.360,0.114,-0.025,0.095,8,325.7011250,-75.3452222
g2142488-065207,1,0.625,0.111,0.202,0.085,0.210,0.045,0.400,0.065,7,325.7032500,-6.8685278
g2142557-063553,1,0.250,0.076,0.141,0.181,-0.150,0.094,0.000,0.104,8,325.7320000,-6.5981389
g2142590-551457,1,0.525,0.129,0.124,0.178,0.240,0.071,0.350,0.135,10,325.7459583,-55.2491944
g2143023-070154,1,0.975,0.079,0.043,0.099,0.060,0.063,0.100,0.058,6,325.7595833,-7.0315556
g2143058-070407,1,0.900,0.097,0.005,0.100,0.180,0.053,0.175,0.065,4,325.7740833,-7.0685000
g2143125-515740,1,0.575,0.159,-0.541,0.259,0.150,0.141,-0.400,0.150,3,325.8020417,-51.9610833
g2143405-520646,2,0.800,0.098,0.147,0.092,0.030,0.048,0.175,0.063,3,325.9189167,-52.1127500
g2143438-532809,1,1.175,0.007,0.025,0.052,0.000,0.045,0.025,0.030,5,325.9325833,-53.4691944
g2143470-083412,1,1.100,0.101,-0.614,0.117,0.360,0.077,-0.275,0.063,9,325.9460000,-8.5700000
g2143513-001917,1,0.625,0.084,-0.126,0.097,0.240,0.052,0.100,0.066,3,325.9637500,-0.3213611
g2143562-513503,2,0.875,0.112,0.093,0.097,0.060,0.052,0.150,0.070,6,325.9841250,-51.5842500
g2143567-084131,1,0.775,0.112,-0.088,0.108,0.120,0.069,0.025,0.074,2,325.9862500,-8.6919444
g2144040-085811,1,0.400,0.124,0.315,0.171,0.090,0.064,0.400,0.135,4,326.0165833,-8.9696667
g2144282-063223,1,0.050,0.065,-0.183,0.153,0.460,0.088,0.250,0.083,6,326.1173750,-6.5398333
g2144315-091128,1,1.000,0.075,-0.408,0.103,0.460,0.070,0.025,0.054,7,326.1310417,-9.1912222
g2144334-100128,1,0.725,0.149,0.084,0.158,0.150,0.068,0.225,0.112,7,326.1390833,-10.0245278
g2144357-060922,1,0.425,0.092,0.118,0.120,0.060,0.063,0.175,0.077,6,326.1487083,-6.1562222
g2144493-084413,1,0.250,0.088,-0.054,0.188,0.270,0.078,0.200,0.134,6,326.2055000,-8.7368056
g2144494-722515,1,0.650,0.091,-0.016,0.104,0.150,0.058,0.125,0.068,1,326.2056250,-72.4207500
g2145002-095429,1,0.700,0.098,-0.201,0.126,0.240,0.077,0.025,0.069,4,326.2506250,-9.9079167
g2145124-545434,1,1.125,0.065,-0.051,0.080,0.240,0.059,0.175,0.049,4,326.3016667,-54.9095278
g2145152-081606,1,-0.025,0.066,-0.070,0.182,0.340,0.098,0.250,0.101,6,326.3131667,-8.2684444
g2145251-772318,1,0.800,0.121,0.068,0.128,0.060,0.069,0.125,0.082,3,326.3544167,-77.3883056
g2145310-753760,1,0.950,0.128,-0.333,0.144,0.300,0.131,-0.050,0.083,7,326.3790417,-75.6332222
g2145354-524102,2,0.500,0.123,0.118,0.180,0.060,0.077,0.175,0.132,5,326.3974167,-52.6838333
g2145376-551851,1,0.275,0.075,0.243,0.165,0.060,0.071,0.300,0.122,2,326.4066667,-55.3140278
g2145417-513849,1,1.000,0.083,-0.189,0.121,0.360,0.075,0.150,0.065,2,326.4236667,-51.6470278
g2145440-104234,1,0.750,0.120,0.385,0.125,-0.090,0.058,0.300,0.085,6,326.4332917,-10.7093611
g2145471-482514,1,0.325,0.082,0.199,0.122,0.320,0.048,0.500,0.101,5,326.4460417,-48.4205000
g2146097-482114,1,0.825,0.122,-0.320,0.152,0.180,0.095,-0.150,0.077,6,326.5405833,-48.3538056
g2146142-521606,1,0.200,0.085,0.215,0.209,0.090,0.075,0.300,0.170,4,326.5590833,-52.2681944
g2146152-463106,1,0.350,0.120,-0.166,0.250,0.150,0.106,-0.025,0.179,10,326.5632083,-46.5184167
g2146342-505901,2,0.850,0.123,-0.104,0.129,0.270,0.065,0.150,0.092,7,326.6423750,-50.9836111
g2146358-522460,2,1.175,0.025,-0.326,0.095,0.320,0.074,-0.025,0.047,6,326.6493333,-52.4166389
g2146426-051345,1,0.300,0.057,0.099,0.092,0.240,0.046,0.325,0.067,3,326.6773333,-5.2290278
g2146508-523949,2,0.575,0.104,0.074,0.141,0.240,0.076,0.300,0.084,5,326.7117500,-52.6636944
g2146561-541602,1,0.750,0.087,-0.051,0.097,0.240,0.049,0.175,0.062,3,326.7337917,-54.2671944
g2147017-103105,1,0.625,0.106,-0.104,0.121,0.270,0.061,0.150,0.082,5,326.7569167,-10.5179444
g2147033-463945,1,0.800,0.103,0.140,0.098,0.090,0.052,0.225,0.065,7,326.7639167,-46.6625278
g2147101-533707,1,0.175,0.052,0.393,0.140,0.060,0.060,0.450,0.145,3,326.7921250,-53.6185833
g2147263-075047,1,0.425,0.096,0.072,0.156,0.030,0.088,0.100,0.090,3,326.8595000,-7.8464444
g2147361-131058,1,0.575,0.066,0.127,0.077,0.210,0.038,0.325,0.052,4,326.9004167,-13.1827222
